編號,經度,緯度,事件類別,CBI值
108_A2_1-6_60,120.687395,24.04696,A2,1
108_A2_1-6_61,121.565033,25.026433,A2,1
108_A2_1-6_62,121.408408,25.018934,A2,1
108_A2_1-6_63,121.484853,25.082933,A2,1
108_A2_1-6_64,121.607604,25.053956,A2,1
108_A2_1-6_65,120.321389,22.630067,A2,1
108_A2_1-6_66,121.47277,25.032804,A2,1
108_A2_1-6_67,121.432937,24.970987,A2,1
108_A2_1-6_68,121.224842,24.959726,A2,1
108_A2_1-6_69,120.545616,24.07774,A2,1
108_A2_1-6_70,121.537615,25.032311,A2,1
108_A2_1-6_71,120.301014,22.623229,A2,1
108_A2_1-6_72,120.210558,23.086414,A2,1
108_A2_1-6_73,121.442303,25.039959,A2,1
108_A2_1-6_74,121.452357,24.99229,A2,1
108_A2_1-6_75,121.512006,25.001739,A2,1
108_A2_1-6_76,121.597691,23.992055,A2,1
108_A2_1-6_77,121.45491,25.048318,A2,1
108_A2_1-6_78,121.614238,25.059853,A2,1
108_A2_1-6_79,120.512005,23.584284,A2,1
108_A2_1-6_80,121.510914,25.067839,A2,1
108_A2_1-6_81,121.507886,25.0084,A2,1
108_A2_1-6_82,121.314894,24.956869,A2,1
108_A2_1-6_83,121.315172,25.007056,A2,1
108_A2_1-6_84,121.507487,24.982384,A2,1
108_A2_1-6_85,121.422544,24.993387,A2,1
108_A2_1-6_86,120.23001,23.025417,A2,1
108_A2_1-6_87,120.967904,24.809592,A2,1
108_A2_1-6_88,120.69005,24.110148,A2,1
108_A2_1-6_89,120.974244,24.814292,A2,1
108_A2_1-6_90,121.75622,24.757019,A2,1
108_A2_1-6_91,121.462501,24.998944,A2,1
108_A2_1-6_92,120.666208,24.169808,A2,1
108_A2_1-6_93,120.235615,23.015318,A2,1
108_A2_1-6_94,121.585182,25.047979,A2,1
108_A2_1-6_95,121.748417,24.744804,A2,1
108_A2_1-6_96,121.304243,24.992133,A2,1
108_A2_1-6_97,121.577471,25.080131,A2,1
108_A2_1-6_98,121.764948,25.129586,A2,1
108_A2_1-6_99,120.476442,23.955844,A2,1
108_A2_1-6_100,121.73505,24.747661,A2,1
108_A2_1-6_101,120.297929,22.715783,A2,1
108_A2_1-6_102,121.743297,24.75403,A2,1
108_A2_1-6_103,120.437071,22.497622,A2,1
